;sexe;prenom;dpt;nombre;
602;2;GABRIELLA;64;3;
603;2;JACINTHE;64;3;
604;2;JANA;64;3;
605;2;FANTINE;64;3;
606;2;EMILIA;64;3;
607;2;IRINA;64;3;
608;2;JANE;64;3;
609;2;FLORENCE;64;3;
610;2;IMANE;64;3;
611;2;FREYA;64;3;
612;2;SILOE;64;3;
613;2;GINA;64;3;
614;2;GIULIANA;64;3;
615;2;ILLONA;64;3;
616;2;GLADYS;64;3;
617;2;GWENDOLINE;64;3;
618;2;HAJAR;64;3;
619;2;ELYANA;64;3;
620;2;HEIDI;64;3;
621;2;HELIA;64;3;
622;2;SERENA;64;3;
623;2;HINA;64;3;
624;2;HISAE;64;3;
625;2;IBAIA;64;3;
626;2;MOANA;64;3;
627;2;DUNE;64;3;
628;2;ELONA;64;3;
629;2;ALYSSON;64;3;
630;2;BONNIE;64;3;
631;2;BLEUENN;64;3;
632;2;BERTILLE;64;3;
633;2;BEATRIZ;64;3;
634;2;AYLA;64;3;
635;2;VIOLAINE;64;3;
636;2;ALEXA;64;3;
637;2;TYA;64;3;
638;2;ALAITZ;64;3;
639;2;YOHANA;64;3;
640;2;AIMY;64;3;
641;2;AIDA;64;3;
642;2;AICHA;64;3;
643;2;AGNES;64;3;
644;2;CALLIE;64;3;
645;2;TIPHANIE;64;3;
646;2;ELIANA;64;3;
647;2;DANA;64;3;
648;2;SWANE;64;3;
649;2;SYDNEY;64;3;
650;2;TAHINA;64;3;
651;2;TALIA;64;3;
652;2;JIHANE;64;3;
653;2;DANIELLE;64;3;
654;2;COLOMBE;64;3;
655;2;CASSIDY;64;3;
656;2;CIARA;64;3;
657;2;CHARLYNE;64;3;
658;2;CHARLY;64;3;
659;2;CERISE;64;3;
660;2;CELYA;64;3;
661;2;CATHY;64;3;
662;2;JANNA;64;3;
663;2;JOHANA;64;3;
664;2;JOANNA;64;3;
665;2;JODIE;64;3;
666;2;MALIKA;64;3;
667;2;NELLY;64;3;1
668;2;NELYA;64;3;
669;2;MALAURY;64;3;
670;2;MAIWEN;64;3;
671;2;MAILIE;64;3;
672;2;MAHEE;64;3;
673;2;MAELIS;64;3;
674;2;MADIE;64;3;
675;2;MADDALEN;64;3;
676;2;LYSA;64;3;
677;2;LUZ;64;3;
678;2;LUCIANA;64;3;
679;2;LUANA;64;3;
680;2;LOUCIA;64;3;
681;2;LORIANE;64;3;
682;2;LOLITA;64;3;
683;2;MALLAURY;64;3;
684;2;MANDY;64;3;
685;2;MANOLI;64;3;
686;2;MARTHA;64;3;
687;2;MICKAELA;64;3;
688;2;MORGANNE;64;3;
689;2;MENDI;64;3;
690;2;MAYSSA;64;3;
691;2;MATILDE;64;3;
692;2;MASHA;64;3;
693;2;MARY;64;3;
694;2;MARLEY;64;3;
695;2;MAREVA;64;3;
696;2;MARJOLAINE;64;3;
697;2;NAILA;64;3;
698;2;MARITXU;64;3;
699;2;MARIELLE;64;3;
700;2;MARIE-AMELIE;64;3;
701;2;MARIAM;64;3;
702;2;MARGUERITE;64;3;
703;2;LOLI;64;3;
704;2;LOISE;64;3;
705;2;LIZA;64;3;
706;2;KATHLEEN;64;3;
707;2;KLARA;64;3;
708;2;KIMBERLEY;64;3;
709;2;KIM;64;3;
710;2;KHADIJA;64;3;
711;2;KEYLIA;64;3;
712;2;KAYA;64;3;
713;2;ROSA;64;3;
714;2;ROSIE;64;3;
715;2;LAINA;64;3;
716;2;KARINE;64;3;
717;2;KALIE;64;3;
718;2;KALI;64;3;
719;2;JULINE;64;3;
720;2;MILANA;64;3;
721;2;SAFIA;64;3;
722;2;SAFIYA;64;3;
723;2;LAILA;64;3;
724;2;RAFAELA;64;3;
725;2;LINDSAY;64;3;
726;2;LAYANA;64;3;
727;2;LILIE;64;3;
728;2;LEXIE;64;3;
729;2;OUMAYMA;64;3;
730;2;OYHANA;64;3;
731;2;LEONA;64;3;
732;2;PAMELA;64;3;
733;2;LAYNA;64;3;
734;2;LAURYN;64;3;
735;2;LAURENCE;64;3;
736;2;PERLE;64;3;
737;2;ABIGAEL;64;3;
738;2;LAURETTE;64;3;
739;2;PHILOMENE;64;3;
740;2;LAURENE;64;3;
741;2;PRUNE;64;3;
742;2;QUITTERIE;64;3;
743;2;ABBY;64;3;
