;sexe;prenom;nombre;vote
877;2;ADAMA;5;
878;2;ZURIA;5;
879;2;ZORIONE;5;
880;2;IRURI;5;
881;2;HODA;5;
882;2;IBTISSAM;5;
883;2;JOHANA;5;
884;2;IDARA;5;
885;2;YAMILET;5;
886;2;YANAY;5;
887;2;AGATHA;5;
888;2;ADUNA;5;
889;2;YISELA;5;
890;2;YLENIA;5;
891;2;JIAHUI;5;
892;2;INDHIRA;5;
893;2;AITANE;5;
894;2;IHARTE;5;
895;2;ZAHARA;5;
896;2;IVONNE;5;
897;2;AIRA;5;
898;2;ADELINA;5;
899;2;ZAYNAB;5;
900;2;ZAYRA;5;
901;2;HELEN;5;
902;2;MARIA EUGENIA;5;
903;2;JULIANA;5;
904;2;FABIOLA;5;
905;2;CHENOA;5;
906;2;CHAIMAA;5;
907;2;LUKE;5;
908;2;BOUCHRA;5;
909;2;NAJWA;5;
910;2;BLANCA MARIA;5;
911;2;BIHOTZ;5;
912;2;NAWAL;5;
913;2;LUCIANA;5;
914;2;NAZARETH;5;
915;2;AZIZA;5;
916;2;AYSHA;5;
917;2;LORETO;5;
918;2;NIHAD;5;
919;2;AVRIL;5;
920;2;NADINE;5;
921;2;CINTIA;5;
922;2;MUSKILDA;5;
923;2;DEBORAH;5;
924;2;DOUNIA;5;
925;2;MARIA SOFIA;5;
926;2;MARIA CAMILA;5;
927;2;DOAA;5;
928;2;MARIOLA;5;
929;2;MARINE;5;
930;2;EIHARNE;5;
931;2;ENAR;5;
932;2;DARIA;5;
933;2;MERITXELL;5;
934;2;ELAINE;5;
935;2;DAIRA;5;
936;2;MAGDALENA;5;
937;2;EMILE;5;
938;2;EYRA;5;
939;2;ASSIL;5;
940;2;URITZ;5;
941;2;NOUR EL HOUDA;5;
942;2;KLAUDIA;5;
943;2;SAROA;5;
944;2;KHAWLA;5;
945;2;KENIA;5;
946;2;SHIRA;5;
947;2;SIENA;5;
948;2;SIHAM;5;
949;2;SOLEDAD;5;
950;2;KARLOTA;5;
951;2;HALIMA;5;
952;2;KARINA;5;
953;2;HANNA;5;
954;2;KANDELA;5;
955;2;ALICE;5;
956;2;HAYAT;5;
957;2;ANAYA;5;
958;2;ANGELINA;5;
959;2;SAMAR;5;
960;2;ORREAGA;5;
961;2;OIARTZA;5;
962;2;ASMA;5;
963;2;FATIMETU;5;
964;2;OLALLA;5;
965;2;OMNIA;5;
966;2;ONDITZ;5;
967;2;FLAVIA;5;
968;2;SAFIRA;5;
969;2;PAULA MARIA;5;
970;2;ARAN;5;
971;2;ARALE;5;
972;2;MARIA FERNANDA;5;
973;2;ANTONIA;5;
974;2;SABELA;5;
975;2;ISLAM;5;
