Nº;Nombre;Total;Por mil (‰)
428;JON AINGERU;  5;0,098
429;JUAN DAVID;  5;0,098
430;JUAN IGNACIO;  5;0,098
431;JUAN MANUEL;  5;0,098
432;LUAR;  5;0,098
433;LUIS FERNANDO;  5;0,098
434;LUIS MIGUEL;  5;0,098
435;MARK;  5;0,098
436;MAXIMO;  5;0,098
437;MOHAMED AMIN;  5;0,098
438;NAIM;  5;0,098
439;NATHAN;  5;0,098
440;NIKO;  5;0,098
441;ROMAN;  5;0,098
442;SAID;  5;0,098
443;UNATZ;  5;0,098
444;VICENTE;  5;0,098
445;XAVIER;  5;0,098
446;ZAKARIA;  5;0,098
447;ZEIAN;  5;0,098
