;sexe;prenom;index;nombre
684;2;COVADONGA;9734;13
685;2;CATALEYA;8893;13
686;2;ZAHRA;13065;13
687;2;MAE;8925;13
688;2;KAYLA;3246;13
689;2;ARABIA;10973;13
690;2;MATILDE;11027;13
691;2;MAROUA;14074;13
692;2;GEMMA;8731;13
693;2;LEONOR;7364;13
694;2;FATOUMATA;10994;13
695;2;ARGI;3240;13
696;2;GEMA;11048;13
697;2;ANIE;13002;13
698;2;IXEIA;11039;12
699;2;IZORTZE;5715;12
700;2;WISSAL;11105;12
701;2;AMELIE;8928;12
702;2;NURA;5324;12
703;2;GAIA;8942;12
704;2;SIRIA;2084;12
705;2;SIRIN;11096;12
706;2;ABRAR;10995;12
707;2;ENEKA;10040;12
708;2;HAIZEDER;2075;12
709;2;UXUA;14170;12
710;2;ALIA;4590;12
711;2;ALINA;9770;12
712;2;ITOITZ;7723;12
713;2;ALLISON;11008;12
714;2;MARIA DOLORES;8797;12
715;2;MENDIA;14122;12
716;2;KAOUTAR;14092;12
717;2;MILENA;13074;12
718;2;FIRDAOUS;8731;11
719;2;PAZ;14197;11
720;2;MIRYAM;6413;11
721;2;LUCIA MARIA;10077;11
722;2;MARCELA;2100;11
723;2;ASTRID;9830;11
724;2;ALISON;5711;11
725;2;ASMAA;12040;11
726;2;JUANA;5771;11
727;2;YANELI;3301;11
728;2;ANGIE;7733;11
729;2;MARIA JESUS;6848;11
730;2;ELIXABETE;8053;11
731;2;ITZEA;5336;11
732;2;MAIRI;3297;11
733;2;RITA;9960;10
734;2;IHART;2116;10
735;2;ALBA MARIA;14153;10
736;2;AURKENE;5776;10
737;2;LAIATZ;3321;10
738;2;AROHA;11105;10
739;2;ANNETTE;5352;10
740;2;MATILDA;3326;10
741;2;ALEXA;13104;10
742;2;XIMENA;10153;10
743;2;JANIS;5362;10
744;2;OMAYMA;14234;10
745;2;GIULIA;11136;10
746;2;TERESE;3332;10
747;2;AHLAM;8757;10
748;2;AGURTZANE;2108;10
749;2;AINERE;5349;10
750;2;AINHITZ;3305;10
751;2;IVET;7424;10
752;2;NEIA;5368;10
753;2;ENARE;5357;10
754;2;SIARA;5868;10
755;2;ZIARA;5879;10
756;2;MARIA ELENA;8889;10
757;2;ANA SOFIA;7726;10
758;2;AMY;13111;10
759;2;LEYLA;5384;9
760;2;ALOÑA;4464;9
761;2;AILEN;3337;9
